word,chunk,postposition,dependency-head,dependency,is_arg,srl,predicate,head-POS
इनकार,NP12,0,VGF2,pof,0,,,n
कर,VGF2,0_दे+या,CCP,ccof,0,,,v
बाद,NP,0_में,VGF,k7t,1,ARGM-DIS,VGF,n
अध्यक्ष,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
मसले,NP3,0_पर,VGF2,k7,0,,,n
सदन,NP4,0_में,VGF2,k7p,0,,,n
चर्चा,NP5,0,VGF2,pof,0,,,n
की,VGF2,या_जा+गा,CCP,ccof,0,,,v
पाटिल,NP,0_ने,VGF,k1,0,,,n
दावा,NP2,0,VGF,pof,0,,,n
किया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,0,,,avy
अक्टूबर,NP3,0,VGF2,k7t,1,ARGM-EXT,VGF2,n
कश्मीर,NP4,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
घटनाओं,NP5,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
कमी,NP6,0,VGF2,k1,1,ARG1,VGF2,n
आई,VGF2,या_है,CCP2,ccof,0,,,v
लेकिन,CCP2,0,CCP,ccof,0,,,avy
पूर्वोत्तर,NP7,0_में,VGF3,k7p,0,,,n
बढ़ोतरी,NP8,0,VGF3,pof,0,,,n
हुई,VGF3,या_है,CCP2,ccof,0,,,v
अक्तूबर,NP,0,VGF,k7t,1,ARGM-TMP,VGF,n
घटनाएं,NP2,0,VGF,k1,1,ARG1,VGF,n
हुई,VGF,या,0,root,0,,,v
इनमें,NP,में,VGF,k7,1,ARGM-LOC,VGF,pn
लोग,NP2,0,CCP,ccof,0,,,n
और,CCP,0,VGF,k2,1,ARG1,VGF,avy
बलों,NP3,0_का,NP4,r6,0,,,n
जवान,NP4,0,CCP,ccof,0,,,n
मारे,VGF,या_जा+या१,0,root,0,,,v
जबकि,CCP,0,0,root,0,,,avy
साल,NP,0,VGF,k7t,1,ARGM-TMP,VGF,n
अब,NP2,0,VGF,k7t,1,ARGM-EXT,VGF,pn
घटनाओं,NP3,0_में,VGF,k7,1,ARGM-LOC,VGF,n
लोग,NP4,0,CCP2,ccof,0,,,n
और,CCP2,0,VGF,k2,1,ARG1,VGF,avy
जवान,NP5,0,CCP2,ccof,0,,,n
मारे,VGF,या_जा+या१,CCP,ccof,0,,,v
सुपरस्टार,NP,0,NP2,nmod,0,,,n
बच्चन,NP2,0_को,VGF,k2,1,ARG0,VGF,n
सेट,NP3,0_पर,VGNN,k2p,1,ARGM-LOC,VGNN,n
लौटने,VGNN,ना_में,VGF,k7,1,ARGM-ADV,VGF,v
अभी,NP4,0,VGF,k7t,1,ARGM-TMP,VGF,pn
महीने,NP5,0_का,NP6,r6,0,,,n
वक्त,NP6,0,VGF,k1,1,ARG1,VGF,n
लगेगा,VGF,गा,0,root,0,,,v
इसे,NP,को,VGNF,k2,1,ARG1,VGNF,pn
देखते,VGNF,ता_हो+एं,VGF,vmod,0,,,v
उनके,NP2,के,NP3,r6,0,,,pn
शो,NP3,0,NP4,nmod,0,,,n
केबीसी,NP4,0_का,NP5,r6,0,,,n
प्रसारण,NP5,0_में,VGF,k7,0,,,n
बदलाव,NP6,0,VGF,pof,0,,,n
किया,VGF,या_जा+या१_है,0,root,0,,,v
इंडिया,NP,0_का,VGF,r6,1,ARGM-LOC,VGF,n
नैयर,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,CCP,ccof,0,,,v
कि,CCP,0,0,root,0,,,avy
अब,NP3,0,VGF2,k7t,0,,,pn
शुक्रवार,NP4,0,CCP2,ccof,0,,,n
और,CCP2,0,VGF2,k7t,0,,,avy
शनिवार,NP5,0_को,CCP2,ccof,0,,,n
२,NP6,0_का,NP7,r6-k2,0,,,n
प्रसारण,NP7,0,VGF2,pof,0,,,n
किया,VGF2,या_जा+गा,CCP,ccof,0,,,v
नैयर,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
अगर,CCP2,0,VGF2,rh,0,,,avy
शो,NP2,0_का,NP3,r6-k2,0,,,n
प्रसारण,NP3,0,VGF2,pof,0,,,n
हफ्ते,NP4,0_में,VGF2,k7t,0,,,n
दिन,NP5,0,VGF2,k7t,0,,,n
किया,VGF2,या_जा+एं,CCP3,ccof,0,,,v
तो,CCP3,0,CCP,ccof,0,,,avy
स्टॉक,NP6,0,VGF3,k1,1,ARG1,VGF3,n
दिसंबर,NP7,0,VGF3,k7t,1,ARGM-EXT,VGF3,n
चलेगा,VGF3,गा,CCP3,ccof,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
अगर,CCP2,0,VGNN,rh,0,,,avy
हफ्ते,NP,0_में,VGNN,k7t,0,,,n
बार,NP2,0,VGNN,k7t,0,,,n
प्रसारण,NP3,0,VGNN,pof,0,,,n
होने,VGNN,ना_पर,VGF,vmod,1,ARGM-ADV,VGF,v
यह,NP4,0,VGF,k1,1,ARG0,VGF,pn
जनवरी,NP5,0,VGF,k7t,1,ARGM-EXT,VGF,n
चलेगा,VGF,गा,CCP,ccof,0,,,v
नैयर,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वक्त,NP2,0,VGF2,k7t,0,,,n
अमिताभ,NP3,0,VGF2,k1,0,,,n
स्वस्थ,JJP,0,VGF2,pof,0,,,adj
हो,VGF2,0_जा+गा,CCP,ccof,0,,,v
आयोग,NP,0_को,VGNN,k4,1,ARG0,VGNN,n
मिलने,VGNN,ना_वाली,VGF,nmod__k2inv,0,,,v
शिकायतों,NP2,0_पर,VGF,k7,1,ARG1,VGNN,n
यकीन,NP3,0,VGF,pof,0,,,n
करें,VGF,एं,CCP,ccof,0,,,v
तो,CCP,0,CCP2,ccof,0,,,avy
मध्यप्रदेश,NP4,0_का,NP5,r6,0,,,n
गौर,NP5,0_पर,VGF2,k7p,1,ARGM-LOC,VGF2,n
बहनों,NP6,0_का,NP7,r6,0,,,n
उत्पीड़न,NP7,0_का,NP8,r6,0,,,n
आरोप,NP8,0,VGF2,k2,1,ARG1,VGF2,n
है,VGF2,है,CCP,ccof,0,,,v
बल्कि,CCP2,0,0,root,0,,,avy
दिल्ली,NP9,0_में,VGF3,k7p,1,ARGM-LOC,VGF3,n
उनकी,NP10,का,VGNF,r6,1,ARGM-MNR,VGNF,pn
NULL2,NULL__NP,0,0,root,0,,,NULL
सताई,VGNF,या_हो+एं,VGF3,nmod__k1inv,1,ARGM-MNR,VGF3,v
महिलाओं,NP11,0_का,NP12,r6,1,ARG1,VGNF,n
तादाद,NP12,0,VGF3,k1,1,ARG1,VGF3,n
कम,NP13,0,VGF3,k2,1,ARG2-ATR,VGF3,avy
है2,VGF3,है,CCP2,ccof,0,,,v
हालांकि,CCP,0,0,root,0,,,avy
आयोग,NP,0_से,VGNF,k1,1,ARGM-CAU,VGNF,n
की,VGNF,या_जा+या१,NP2,nmod__k2inv,0,,,v
शिकायतों,NP2,0_में,VGF,k7,1,ARG1,VGNF,n
महिलाओं,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
अपना,NP4,0,NP5,r6,0,,,pn
पता,NP5,0,VGF,k2,1,ARG1,VGF,n
बताया,VGF,या,CCP,ccof,0,,,v
आयोग,NP,0_को,VGF,k4,1,ARG0,VGF,n
माह,NP2,0_के_दौरान,VGF,k7t,1,ARGM-TMP,VGF,n
महिलाओं,NP3,0_का,NP4,r6,0,,,n
शिकायतें,NP4,0,VGF,k2,1,ARG1,VGF,n
मिली,VGF,या_है,NULL__CCP,ccof,0,,,v
जिनमें,NP5,में,VGF2,k7,0,,,pn
गौर,NP6,0_पर,VGF2,k7p,0,,,n
उत्पीड़न,NP7,0_का,NP8,r6,0,,,n
आरोप,NP8,0,VGF2,pof,0,,,n
लगाए,VGF2,या_जा+या१_है,NULL__CCP,ccof,0,,,v
चिट्ठियां,NP,0,VGF,k1,1,ARG1,VGF,n
दिल्ली,NP2,0_से,VGF,k5,1,ARG2-SOU,VGF,n
भेजी,VGF,या_जा+या१_है,0,root,0,,,v
ऐसे,NP,0,VGNN,rs,1,ARG1,VGNN,pn
लिखने,VGNN,ना_वाला_को,VGNF,k4,1,ARG0,VGNF,v
यह,NP2,0,VGNF,k2,1,ARG1,VGNF,pn
जानकर,VGNF,कर,VGF,vmod,1,ARGM-MNR,VGF,v
निराशा,NP3,0,VGF,k1,1,ARG1,VGF,n
होगी,VGF,गा,0,root,0,,,v
कि,CCP,0,NP3,rs,0,,,avy
आयोग,NP4,0,VGF2,k1,0,,,n
ऐसे2,NP5,0_का,NP6,r6,0,,,pn
आधार,NP6,0_पर,VGF2,k7,0,,,n
कार्रवाई,NP7,0,VGF2,pof,0,,,n
करेगा,VGF2,गा,CCP,ccof,0,,,v
आयोग,NP,0_का,VGF,r6,1,ARG0,VGF,n
कहना,VGF,ना,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
बिना,NEGP,0,CCP2,vmod,0,,,avy
नाम,NP2,0,CCP2,ccof,0,,,n
और,CCP2,0,NP4,nmod,0,,,avy
पते,NP3,0_वाली,CCP2,ccof,0,,,n
चिट्ठी,NP4,0_में,VGNF,k7p,1,ARGM-LOC,VGNF,n
लगाए,VGNF,एं_जा+या१,NP5,nmod__k1inv,0,,,v
आरोपों,NP5,0_के_खिलाफ,VGF2,vmod,1,ARG1,VGNF,n
कार्रवाई,NP6,0,VGF2,k2,1,ARG1,VGF2,n
की,VGF2,या_जा_सक+ता,CCP,ccof,0,,,v
राज्य,NP,0_में,VGNF,k7p,1,ARGM-LOC,VGNF,n
मची,VGNF,या,NP2,nmod__k1inv,0,,,v
कुर्सी,NP2,0_का,NP3,r6,1,ARG1,VGNF,n
लड़ाई,NP3,0,CCP,ccof,0,,,n
और,CCP,0,VGF,ccof,1,ARGM-CAU,VGF,avy
गौर,NP4,0_पर,VGNF2,k7p,1,ARGM-LOC,VGNF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
लगे,VGNF2,एं,NP5,nmod__k1inv,0,,,v
उत्पीड़न,NP5,0_का,NP6,r6,1,ARG1,VGNF2,n
आरोपों,NP6,0_से,CCP,ccof,0,,,n
मुख्यालय,NP7,0_में,VGF,k7p,1,ARGM-LOC,VGF,n
परेशानी,NP8,0,VGF,k1,1,ARG1,VGF,n
है,VGF,है,CCP2,ccof,0,,,v
बल्कि,CCP2,0,0,root,0,,,avy
आयोग,NP9,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
सवाल,NP10,0,VGF2,k1,1,ARG1,VGF2,n
उठाए,VGF2,एं_जा_रह+एं,CCP2,ccof,0,,,v
कि,CCP3,0,NP10,rs,0,,,avy
आखिर,RBP,0,VGF3,adv,1,ARGM-ADV,VGF3,adv
गौर2,NP11,0_के_खिलाफ,VGF3,vmod,1,ARGM-LOC,VGF3,n
शिकायतें,NP12,0,VGF3,k2,1,ARG1,VGF3,n
कौन,NP13,0,VGF3,k1,1,ARG0,VGF3,pn
कर,VGF3,0_रह+या,CCP3,ccof,0,,,v
यदि,CCP,0,VGF2,vmod,0,,,avy
महिलाएं,NP,0,VGF,k2,1,ARG1,VGF,n
सचमुच,RBP,0,VGF,adv,1,ARGM-MNR,VGF,adv
गौर,NP2,0_का,VGNF,r6,1,ARG1,VGNF,n
सताई,VGNF,या_हो+या,VGF,vmod,1,ARG2-ATR,VGF,v
हैं,VGF,है,CCP,ccof,0,,,v
तो,CCP2,0,0,root,0,,,avy
लोगों,NP3,0_ने,VGF2,k1,0,,,n
नाम,NP4,0,CCP3,ccof,0,,,n
और,CCP3,0,VGF2,k2,0,,,avy
पता,NP5,0,CCP3,ccof,0,,,n
गुप्त,JJP,0,VGF2,pof,0,,,adj
क्यों,RBP2,0,VGF2,adv,0,,,pn
रखा,VGF2,या,CCP2,ccof,0,,,v
आयोग,NP,0_का,NP2,r6,0,,,n
व्यास,NP2,0,VGF,k1,1,ARG0,VGF,n
कहती,VGF,ता_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
ऐसे,NP3,0,NP4,adv,0,,,pn
आरोपों,NP4,0_के_खिलाफ,VGF2,vmod,1,ARGM-LOC,VGF2,n
कार्रवाई,NP5,0,VGF2,k2,1,ARG1,VGF2,n
की2,VGF2,या_जा_सक+ता,CCP,ccof,0,,,v
वे,NP,0,VGF,k1,1,ARG0,VGF,pn
कहती,VGF,ता,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
जब,NP2,0,VGF2,k7t,1,ARGM-EXT,VGF2,pn
शिकायत,NP3,0,VGNN,pof,0,,,n
करने,VGNN,ना_वाला,NP5,nmod,1,ARG0,VGF2,v
अपना,NP4,0,NP5,r6,0,,,pn
नाम,NP5,0,CCP2,ccof,0,,,n
और,CCP2,0,VGF2,k2,1,ARG1,VGF2,avy
पता,NP6,0,CCP2,ccof,0,,,n
बताता,VGF2,ता,NP7,nmod__relc,0,,,v
तब,NP7,0,VGF3,k7t,1,ARGM-EXT,VGF3,pn
उसकी,NP8,का,NP9,r6,0,,,pn
समस्या,NP9,0_को,VGF3,k2,1,ARG1,VGF3,n
आयोग,NP10,0,VGF3,k1,1,ARG0,VGF3,n
कैसे,RBP,0,VGF3,adv,1,ARGM-PRP,VGF3,pn
सुलझा,VGF3,या_सक+ता,CCP,ccof,0,,,v
भाजपा,NP,0_में,VGF,k7,1,ARGM-LOC,VGF,n
खेमा,NP2,0,VGF,k1,1,ARG0,VGF,n
समय,NP3,0,VGF,k7t,1,ARGM-TMP,VGF,n
गौर,NP4,0_के_खिलाफ,VGF,vmod,1,ARGM-MNR,VGF,n
अभियान,NP5,0,VGF,k2,1,ARG1,VGF,n
चला,VGF,या_रह+या_है,0,root,0,,,v
तट,NP,0_पर,VGNF,k7p,1,ARGM-LOC,VGNF,n
हुई,VGNF,या,NP2,nmod__k1inv,0,,,v
दुर्घटना,NP2,0_में,VGNF2,k7,1,ARGM-LOC,VGNF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
मारे,VGNF2,एं_जा+या१,NP3,nmod__k2inv,0,,,v
भारतीयों,NP3,0_का,NP4,r6,1,ARG1,VGNF2,n
संख्या,NP4,0,VGF,k1,1,ARG1,VGF,n
NULL3,NULL__NP,0,0,root,0,,,NULL
बढ़कर,VGNF3,कर,VGF,vmod,1,ARG2-ATR,VGF,v
२१,NP5,0,VGF,k1s,1,ARGM-EXT,VGF,num
हो,VGF,०_जा+या१_है,0,root,0,,,v
तट,NP,0_पर,VGNF,k7p,1,ARGM-LOC,VGNF,n
हुई,VGNF,या,NP2,nmod__k1inv,0,,,v
दुर्घटना,NP2,0_में,VGNF2,k7,1,ARGM-LOC,VGNF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
मारे,VGNF2,एं_जा+या१,NP3,nmod__k2inv,0,,,v
भारतीयों,NP3,0_का,NP4,r6,1,ARG1,VGNF2,n
संख्या,NP4,0,VGF,k1,1,ARG1,VGF,n
NULL3,NULL__NP,0,0,root,0,,,NULL
बढ़कर,VGNF3,कर,VGF,vmod,1,ARG2-ATR,VGF,v
२१,NP5,0,VGF,k1s,1,ARGM-EXT,VGF,num
हो,VGF,०_जा+या१_है,0,root,0,,,v
उन्होंने,NP,0,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वह,NP2,0,VGF2,k1,1,ARG1,VGF2,pn
बहरीन,NP3,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
भारत,NP4,0_का,NP5,r6,0,,,n
शेट्टी,NP5,0_का_साथ,VGF2,ras-k1,1,ARGM-MNR,VGF2,n
लगातार,RBP,0,VGF2,adv,1,ARGM-MNR,VGF2,adv
संपर्क,NP6,0_में,VGF2,k7,1,ARG2-ATR,VGF2,n
हैं,VGF2,है,CCP2,ccof,0,,,v
और,CCP2,0,CCP,ccof,0,,,avy
शवों,NP7,0_को,VGNN,k2,1,ARG1,VGNN,n
शीघ्र,RBP2,0,VGNN,adv,1,ARGM-MNR,VGNN,adv
भारत2,NP8,0,VGNN,k2p,1,ARG2-GOL,VGNN,n
भेजने,VGNN,ना_का_ले+या,VGF3,rt,0,,,v
उनसे,NP9,0,VGF3,k2,0,,,pn
प्रयास,NP10,0,VGNN2,pof,0,,,n
करने,VGNN2,ना_का,NP11,ras-k2,0,,,v
आग्रह,NP11,0,VGF3,pof,0,,,n
किया,VGF3,या_जा+या१_है,CCP2,ccof,0,,,v
बहरहाल,CCP,0,0,root,0,,,avy
मंत्री,NP,0_ने,VGF,k1,0,,,n
उम्मीद,NP2,0,VGF,pof,0,,,n
जताई,VGF,या_है,CCP,ccof,0,,,v
कि,CCP2,0,VGF,k2,0,,,avy
शवों,NP3,0_को,VGF2,k2,1,ARG1,VGF2,n
रविवार,NP4,0,VGF2,k7t,1,ARGM-TMP,VGF2,n
शाम,NP5,0,VGF2,k7t,1,ARGM-TMP,VGF2,n
भारत,NP6,0,VGF2,k2p,1,ARGM-LOC,VGF2,n
लाया,VGF2,या_जा+०_सक+ता_है,CCP2,ccof,0,,,v
रवि,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
बहरीन,NP2,0_का,NP3,r6,0,,,n
अधिकारियों,NP3,0_द्वारा,VGNN,k1,0,,,n
प्रक्रियाओं,NP4,0_को,VGNN,k2,0,,,n
पूरा,JJP,0,VGNN,pof,0,,,adj
कर,VGNN,०_ले+या_जा+ना_का_बाद,VGF2,k7t,1,ARGM-TMP,VGF2,v
शवों,NP5,0_को,VGF2,k2,1,ARG1,VGF2,n
राजदूत,NP6,0,CCP2,ccof,0,,,n
और,CCP2,0,VGF2,k4,1,ARG2,VGF2,avy
परिजनों,NP7,0_को,CCP2,ccof,0,,,n
सौंप,VGF2,०_दे+या_जा+गा,CCP,ccof,0,,,v
मृतकों,NP,0_का,NP2,r6,0,,,n
परिजनों,NP2,0_को,VGNN,k4,1,ARG2,VGNN,n
मुआवज़ा,NP3,0,VGNN,k2,1,ARG1,VGNN,n
देने,VGNN,ना_का_बाबत,VGF,vmod,1,ARGM-ADV,VGF,v
उन्होंने,NP4,0,VGF,k1,1,ARG0,VGNN,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
इस,NP5,0_बारे_में,VGF2,k7,0,,,pn
बाद,NP6,0_में,VGF2,k7t,0,,,nst
विचार,NP7,0,VGF2,pof,0,,,n
किया,VGF2,या_जा+गा,CCP,ccof,0,,,v
फिलहाल,RBP,0,VGF,adv,1,ARGM-ADV,VGF,adv
शवों,NP,0_को,VGNN,k2,1,ARG1,VGNN,n
भारत,NP2,0,VGNN,k2p,1,ARGM-LOC,VGNN,n
लाना,VGNN,ना,VGF,vmod,1,ARG1,VGF,v
प्राथमिकता,NP3,0,VGF,k1,1,ARG2-ATR,VGF,n
है,VGF,है,0,root,0,,,v
बहरहाल,CCP,0,0,root,0,,,adv
दुर्घटना,NP,0_में,VGNN,k7,1,ARGM-LOC,VGNN,n
भारतीयों,NP2,0_का,VGNN,k2,1,ARG1,VGNN,n
मारे,VGNN,या_जा+ना_का,NP3,r6-k1,0,,,v
पुष्टि,NP3,0,VGF,pof,0,,,n
हो,VGF,०_चुक+या_है,NP4,nmod__relc,0,,,v
उनमें,NP4,0,VGF2,k7,0,,,pn
केरल,NP5,0_का,NP6,r6,0,,,n
",2",NP6,0,NULL__CCP2,ccof,0,,,punc
तमिलनाडु,NP7,0_का,NP8,r6,0,,,n
",3",NP8,0,NULL__CCP2,ccof,0,,,punc
प्रदेश,NP9,0,NULL__CCP2,ccof,0,,,n
दिल्ली,NP10,0,NULL__CCP2,ccof,0,,,n
गोवा,NP11,0,NULL__CCP2,ccof,0,,,n
कर्नाटक,NP12,0_का,NULL__CCP2,ccof,0,,,n
",7",NP13,0,NULL__CCP2,ccof,0,,,punc
बिहार,NP14,0,CCP2,ccof,0,,,n
और,CCP2,0,NP16,r6,0,,,avy
महाराष्ट्र,NP15,0_का,CCP2,ccof,0,,,n
एक2,NP16,0,NULL__CCP2,ccof,0,,,punc
NULL2,NULL2,0,NP17,nmod,0,,,NULL
लोग,NP17,0,VGF2,k1,0,,,n
शामिल,JJP,0,VGF2,pof,0,,,adj
हैं,VGF2,है,CCP3,ccof,0,,,v
जबकि,CCP3,0,CCP,ccof,0,,,avy
शव,NP18,0_का,NP19,r6,0,,,n
पहचान,NP19,0,VGF3,k1,1,ARG1,VGF3,n
हो2,VGF3,०_पा+या_है,CCP3,ccof,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
तट,NP,0_से,NP3,nmod,0,,,n
किलोमीटर,NP2,0,NP3,nmod,0,,,n
दूर,NP3,0,VGNN,k7p,1,ARGM-LOC,VGNN,nst
समुद्र,NP4,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
रात,NP5,0,VGNN,k7t,1,ARGM-TMP,VGNN,n
बजे,NP6,या,VGNN,k7t,1,ARGM-TMP,VGNN,n
समयानुसार,NP7,0,NP6,nmod,0,,,n
नाव,NP8,0,NP9,nmod,0,,,n
दाना,NP9,0_का,VGNN,k1,1,ARG1,VGNN,n
डूब,VGNN,०_जा+ना_से,VGF2,rh,0,,,v
लोगों,NP10,0_का,NP11,r6-k1,0,,,n
मौत,NP11,0,VGF2,pof,0,,,n
हो,VGF2,०_जा+या१_था,CCP,ccof,0,,,v
नाव,NP,0_पर,VGF,k7p,0,,,n
यात्री,NP2,0,VGF,k1,0,,,n
सवार,JJP,0,VGF,pof,0,,,adj
थे,VGF,था,CCP,ccof,0,,,v
जबकि,CCP,0,0,root,0,,,avy
इसकी,NP3,0,NP4,r6,0,,,pn
क्षमता,NP4,0,VGF2,k1,1,ARG0,NP6,n
यात्रियों,NP5,0_को,VGF2,k2,1,ARGM-MNR,VGF2,n
ले,NP6,०_जा+ना_का,VGF2,r6v,1,ARG2-ATR,VGF2,v
थी,VGF2,था,CCP,ccof,0,,,v
नाव,NP,0_का,NP2,r6,0,,,n
कैप्टन,NP2,0_को,VGNF,k2,1,ARG1,VGNF,n
हिरासत,NP3,0_में,VGNF,k7,1,ARGM-LOC,VGNF,n
लेकर,VGNF,कर,VGF,vmod,0,,,v
उनसे,NP4,0,VGF,k2,0,,,pn
पूछताछ,NP5,0,VGF,pof,0,,,n
की,VGF,या_जा+०_रह+या_है,0,root,0,,,v
घंटे,NP,0,VGNN,k1,1,ARG1,VGNN,n
बीत,VGNN,०_जा+ना_का_बाद,VGF,k7t,0,,,v
घटना,NP2,0_का,NP3,r6,0,,,n
कारणों,NP3,0_का,JJP,r6-k1,0,,,n
फिलहाल,RBP,0,VGF,adv,0,,,adv
पता,JJP,0,VGF,pof,0,,,adj
चल,VGF,०_पा+या_है,0,root,0,,,v
बहरीन,NP,0_का,NP2,r6,0,,,n
मामलों,NP2,0_का,NP3,r6,0,,,n
खलीफा,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
गड़बड़ी,NP4,0,VGF2,k2,1,ARG1,VGF2,n
जरूर,RBP,0,VGF2,adv,1,ARG2-ATR,VGF2,adv
हुई,VGF2,या_हो+गा,CCP,ccof,0,,,v
जिसके,NP5,0_कारण,VGF3,rh,1,ARGM-CAU,VGF3,pn
नाव,NP6,0,VGF3,k1,1,ARG1,VGF3,n
डूब,VGF3,०_जा+या१,NP4,nmod__relc,0,,,v
नाव,NP,0_का,NP2,r6,0,,,n
मालिक,NP2,0,NP3,nmod,0,,,n
कुबैशी,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
नाव2,NP4,0_में,VGF2,k7p,0,,,n
यात्री,NP5,0_से,VGF2,k1,0,,,n
सवार,JJP,0,VGF2,pof,0,,,adj
थे,VGF2,था,CCP,ccof,0,,,v
गार्ड,NP,0,VGF,k1,1,ARG0,VGF,n
सेना,NP2,0_का,NP3,r6,0,,,n
मदद,NP3,0_से,VGF,k3,1,ARGM-MNR,VGF,n
लोगों,NP4,0_का,NP5,r6-k2,0,,,n
पता,NP5,0,VGNN,pof,0,,,adj
लगाने,VGNN,ना_में,VGF,vmod,1,ARG1,VGF,v
जुटा,VGF,०_है,0,root,0,,,v
काम,NP,0_में,VGF,k7,1,ARGM-LOC,VGF,n
हेलीकॉप्टर,NP2,0_का,NP3,r6,0,,,n
मदद,NP3,0,VGF,k2,1,ARG1,VGF,n
ली,VGF,या_जा+०_रह+या_है,0,root,0,,,v
पाकिस्तानियों,NP,0_द्वारा,VGNN,k1,1,ARG0,VGNN,n
कश्मीर,NP2,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
नागरिकता,NP3,0,VGNF,k2,0,,,n
हासिल,JJP,0,VGNF,pof,0,,,adj
कर,VGNF,0,VGNN,vmod,1,ARGM-MNR,VGNN,v
जायदाद,NP4,0,VGNN,k2,1,ARG1,VGNN,n
खरीदने,VGNN,ना_का,NP5,r6,0,,,v
मामले,NP5,0,VGF,k1,1,ARG1,VGF,n
प्रकाश,NP6,0_में,VGF,k7,1,ARGM-LOC,VGF,n
आए,VGF,या_है,0,root,0,,,v
मामले,NP,0,VGF,k1,0,,,n
प्रकाश,NP2,0_में,VGF,pof,0,,,n
आए,VGF,या_है,0,root,0,,,v
जिनमें,NP3,0,VGF2,k7,1,ARGM-LOC,VGF2,pn
पाकिस्तानियों,NP4,0_ने,VGF2,k1,1,ARG0,VGF2,n
कश्मीर,NP5,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
निवासी,NP6,0_का,NP7,r6,0,,,n
प्रमाण,NP7,0,VGNF,k2,0,,,n
हासिल,JJP,0,VGNF,pof,0,,,adj
कर,VGNF,0,VGF2,vmod,1,ARGM-MNR,VGF2,v
जायदाद,NP8,0,VGF2,k2,1,ARG1,VGF2,n
खरीदी,VGF2,या,NP,nmod__relc,0,,,v
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
पाकिस्तानियों,NP2,0_ने,VGF2,k1,1,ARG1,VGNF,n
पंजाब,NP3,0_का,NP4,r6,0,,,n
बॉर्डर,NP4,0,VGNF,k2p,1,ARGM-LOC,VGNF,n
होते,VGNF,ता_हो+या,VGF2,adv,0,,,v
भारत,NP5,0_में,VGF2,k7p,0,,,n
प्रवेश,NP6,0,VGF2,pof,0,,,n
किया,VGF2,या_था,CCP,ccof,0,,,v
कश्मीर,NP,0,VGNF,k2p,1,ARG2-GOL,VGNF,n
आकर,VGNF,कर,VGF,vmod,0,,,v
उन्होंने,NP2,ने,VGF,k1,1,ARG1,VGNN,pn
अधिकारियों,NP3,0_का,NP4,r6,0,,,n
मिलीभगत,NP4,0_से,VGF,rh,0,,,n
निवासी,NP5,0,VGNN,k1,1,ARG2-ATR,VGNN,n
NULL2,NULL__NP,0,0,root,0,,,NULL
होने,VGNN,ना_का,NP6,r6,0,,,v
प्रमाण,NP6,0,VGF,k2,0,,,n
हासिल,JJP,0,VGF,pof,0,,,adj
किया,VGF,या,0,root,0,,,v
इसके,NP,के_बाद,VGF,k7t,1,ARGM-TMP,VGF,pn
